,x,y,month,id
0,4.25,16,2011-04-01,137138
0,3.75,17,2011-04-01,81829
0,4.0,17,2011-04-01,281839
0,4.25,17,2011-04-01,262272
0,3.75,18,2011-04-01,229641
0,4.0,18,2011-04-01,180646
0,4.25,18,2011-04-01,96063
0,3.75,19,2011-04-01,230801
0,4.0,19,2011-04-01,6194
0,4.25,19,2011-04-01,33352
0,3.75,20,2011-04-01,14497
0,4.0,20,2011-04-01,97816
0,4.25,20,2011-04-01,195935
0,3.75,21,2011-04-01,88876
0,4.0,21,2011-04-01,135964
0,4.25,21,2011-04-01,72146
0,3.75,22,2011-04-01,104630
0,4.0,22,2011-04-01,203971
0,4.25,22,2011-04-01,139704
0,3.75,23,2011-04-01,121921
0,4.0,23,2011-04-01,223693
0,4.25,23,2011-04-01,78327
0,3.75,24,2011-04-01,42375
0,4.0,24,2011-04-01,142927
0,4.25,24,2011-04-01,210541
0,3.75,25,2011-04-01,197819
0,4.0,25,2011-04-01,107883
0,4.25,25,2011-04-01,180313
0,3.75,26,2011-04-01,104171
0,4.0,26,2011-04-01,282124
0,4.25,26,2011-04-01,3782
0,3.75,27,2011-04-01,179293
0,4.0,27,2011-04-01,191545
0,4.25,27,2011-04-01,24913
0,3.75,28,2011-04-01,76008
0,4.0,28,2011-04-01,49789
0,4.25,28,2011-04-01,8183
0,3.75,29,2011-04-01,2517
